X,Y,Z
-3.762848,1.864317,-1.016344
-3.888178,2.856946,-0.752502
-3.747442,3.691115,-0.568256
-3.361438,4.180408,-0.822797
-2.775833,4.268128,-1.59804
-2.051227,4.009909,-2.647623
-1.25185,3.501012,-3.535067
0.191559,0.171733,0.178159
0.292719,0.178063,0.172589
0.358668,0.181734,0.149973
0.37152,0.182689,0.114413
0.330506,0.180661,0.071898
0.248433,0.175315,0.027891
0.143157,0.166376,-0.014547
0.029058,0.153643,-0.054762
-0.087487,0.136923,-0.093006
-0.205941,0.116033,-0.128385
-0.325077,0.091002,-0.157778
-0.436096,0.062271,-0.176841
-0.521253,0.030683,-0.182005
-0.56177,-0.002623,-0.172058
-0.548368,-0.036291,-0.148634
-0.486445,-0.068828,-0.115388
-0.393909,-0.09876,-0.076793
-0.29296,-0.12486,-0.037336
-0.203481,-0.146372,-0.001029
-0.143028,-0.163082,0.029062
-0.12657,-0.175142,0.051259
-0.15933,-0.182876,0.065467
-0.228482,-0.186712,0.072891
-0.302946,-0.187168,0.07511
-0.344444,-0.184716,0.073029
-0.327692,-0.179632,0.066297
-0.254558,-0.171969,0.053422
-0.148971,-0.161647,0.032696
-0.041215,-0.148588,0.00349
0.046398,-0.132796,-0.032595
0.106752,-0.114317,-0.071245
0.146609,-0.093225,-0.106122
0.182414,-0.069751,-0.13049
0.236558,-0.044466,-0.139376
0.329637,-0.018346,-0.131209
0.465616,0.007342,-0.108015
0.620619,0.031324,-0.074392
0.748349,0.052566,-0.035785
0.801166,0.07032,0.003044
0.758512,0.084039,0.03864
0.641795,0.093311,0.0688
0.499497,0.09786,0.092181
0.37909,0.097628,0.107915
0.306932,0.092831,0.115398
0.284295,0.083883,0.114288
0.298933,0.071352,0.104665
0.335573,0.056036,0.087208
0.373563,0.038994,0.063245
0.384336,0.021379,0.03465
0.342478,0.004217,0.003633
0.241683,-0.011668,-0.02733
0.101386,-0.025647,-0.055287
-0.040664,-0.03728,-0.076566
-0.148575,-0.04634,-0.086948
-0.206433,-0.052819,-0.082499
-0.221556,-0.056858,-0.06119
-0.218546,-0.058574,-0.024653
-0.230764,-0.057979,0.020848
-0.287797,-0.055107,0.065071
-0.398251,-0.050172,0.096636
-0.540187,-0.04353,0.106921
-0.671597,-0.035561,0.093377
-0.752836,-0.026612,0.060769
-0.767859,-0.017042,0.019217
-0.732219,-0.007281,-0.019491
-0.681286,0.0022,-0.045647
-0.652565,0.011048,-0.054223
-0.674608,0.019151,-0.045541
-0.758545,0.02654,-0.024406
-0.888053,0.033213,0.001884
-1.017139,0.039034,0.026058
-1.086586,0.043788,0.043263
-1.0507,0.047325,0.052443
-0.89997,0.049635,0.055844
-0.665126,0.050729,0.057138
-0.395329,0.050537,0.058974
-0.132494,0.049027,0.061228
0.097617,0.046392,0.061033
