No,X,Y,Z,Tabel
136,-3.728287,2.206071,-1.104458,Gempa
137,-3.716345,1.609551,-2.165471,Gempa
138,-3.466464,0.858077,-2.884696,Gempa
139,-2.968771,0.074245,-3.104333,Gempa
140,-2.230679,-0.623379,-2.745019,Gempa
141,-1.280027,-1.143044,-1.864301,Gempa
142,-0.169082,-1.443297,-0.670692,Gempa
143,1.02562,-1.555272,0.535913,Gempa
144,2.209807,-1.576126,1.464306,Gempa
145,3.285062,-1.610741,1.929338,Gempa
146,4.164373,-1.700284,1.910294,Gempa
147,4.783979,-1.789756,1.541046,Gempa
148,5.108859,-1.75837,1.045232,Gempa
149,5.13082,-1.509887,0.637291,Gempa
150,4.863952,-1.045968,0.433796,Gempa
151,4.341254,-0.45303,0.418443,Gempa
152,3.611888,0.164744,0.468673,Gempa
153,2.736603,0.749358,0.4381,Gempa
154,1.780041,1.305376,0.242547,Gempa
155,0.800487,1.850558,-0.103102,Gempa
156,-0.15754,2.356953,-0.508094,Gempa
157,-1.062934,2.740959,-0.878413,Gempa
158,-1.893327,2.899514,-1.178361,Gempa
159,-2.630424,2.767847,-1.427429,Gempa
160,-3.256973,2.357335,-1.649642,Gempa
161,-3.75566,1.74308,-1.816868,Gempa
162,-4.109264,1.02407,-1.84015,Gempa
163,-4.30208,0.286538,-1.639208,Gempa
164,-4.323174,-0.413372,-1.224073,Gempa
165,-4.171099,-1.042927,-0.711749,Gempa
166,-3.855747,-1.579313,-0.268343,Gempa
167,-3.394126,-2.004098,-0.001028,Gempa
168,-2.805161,-2.301719,0.118505,Gempa
169,-2.109703,-2.45613,0.228695,Gempa
170,-1.336136,-2.45154,0.485813,Gempa
171,-0.527813,-2.284449,0.963856,Gempa
172,0.257472,-1.980285,1.603048,Gempa
173,0.962923,-1.6,2.243339,Gempa
174,1.551959,-1.21963,2.703725,Gempa
175,2.017146,-0.879531,2.860181,Gempa
176,2.374838,-0.549918,2.693064,Gempa
177,2.647283,-0.160494,2.283261,Gempa
178,2.846866,0.322366,1.761287,Gempa
179,2.974896,0.817527,1.224997,Gempa
180,3.029147,1.124703,0.68057,Gempa
181,3.01065,1.042217,0.060837,Gempa
182,2.92434,0.515055,-0.68789,Gempa
183,2.772289,-0.301301,-1.493905,Gempa
184,2.546501,-1.099475,-2.123223,Gempa
185,2.228443,-1.591355,-2.296147,Gempa
186,1.795044,-1.664806,-1.871889,Gempa
187,1.229032,-1.406658,-0.977112,Gempa
188,0.529828,-1.015783,0.007489,Gempa
189,-0.2788,-0.66689,0.642209,Gempa
190,-1.146932,-0.406785,0.672761,Gempa
191,-2.004757,-0.146466,0.16783,Gempa
192,-2.773741,0.268498,-0.519628,Gempa
193,-3.379439,0.946861,-0.981394,Gempa
194,-3.762848,1.864317,-1.016344,Gempa
195,-3.888178,2.856946,-0.752502,Gempa
196,-3.747442,3.691115,-0.568256,Gempa
197,-3.361438,4.180408,-0.822797,Gempa
198,-2.775833,4.268128,-1.59804,Gempa
199,-2.051227,4.009909,-2.647623,Gempa
200,-1.25185,3.501012,-3.535067,Gempa
201,0.191559,0.171733,0.178159,Gempa
202,0.292719,0.178063,0.172589,Gempa
203,0.358668,0.181734,0.149973,Gempa
204,0.37152,0.182689,0.114413,Gempa
205,0.330506,0.180661,0.071898,Gempa
206,0.248433,0.175315,0.027891,Gempa
207,0.143157,0.166376,-0.014547,Gempa
208,0.029058,0.153643,-0.054762,Gempa
209,-0.087487,0.136923,-0.093006,Gempa
210,-0.205941,0.116033,-0.128385,Gempa
211,-0.325077,0.091002,-0.157778,Gempa
212,-0.436096,0.062271,-0.176841,Gempa
213,-0.521253,0.030683,-0.182005,Gempa
214,-0.56177,-0.002623,-0.172058,Gempa
215,-0.548368,-0.036291,-0.148634,Gempa
216,-0.486445,-0.068828,-0.115388,Gempa
217,-0.393909,-0.09876,-0.076793,Gempa
218,-0.29296,-0.12486,-0.037336,Gempa
219,-0.203481,-0.146372,-0.001029,Gempa
220,-0.143028,-0.163082,0.029062,Gempa
221,-0.12657,-0.175142,0.051259,Gempa
222,-0.15933,-0.182876,0.065467,Gempa
223,-0.228482,-0.186712,0.072891,Gempa
224,-0.302946,-0.187168,0.07511,Gempa
225,-0.344444,-0.184716,0.073029,Gempa
226,-0.327692,-0.179632,0.066297,Gempa
227,-0.254558,-0.171969,0.053422,Gempa
228,-0.148971,-0.161647,0.032696,Gempa
229,-0.041215,-0.148588,0.00349,Gempa
230,0.046398,-0.132796,-0.032595,Gempa
231,0.106752,-0.114317,-0.071245,Gempa
232,0.146609,-0.093225,-0.106122,Gempa
233,0.182414,-0.069751,-0.13049,Gempa
234,0.236558,-0.044466,-0.139376,Gempa
235,0.329637,-0.018346,-0.131209,Gempa
236,0.465616,0.007342,-0.108015,Gempa
237,0.620619,0.031324,-0.074392,Gempa
238,0.748349,0.052566,-0.035785,Gempa
239,0.801166,0.07032,0.003044,Gempa
240,0.758512,0.084039,0.03864,Gempa
241,0.641795,0.093311,0.0688,Gempa
242,0.499497,0.09786,0.092181,Gempa
243,0.37909,0.097628,0.107915,Gempa
244,0.306932,0.092831,0.115398,Gempa
245,0.284295,0.083883,0.114288,Gempa
246,0.298933,0.071352,0.104665,Gempa
247,0.335573,0.056036,0.087208,Gempa
248,0.373563,0.038994,0.063245,Gempa
249,0.384336,0.021379,0.03465,Gempa
