X;Y;Z
-0,026819;-0,104682;-0,006199
-0,050198;-0,14496;-0,038334
-0,076378;-0,161236;-0,050923
-0,103634;-0,133322;-0,027507
-0,129881;-0,049255;0,034469
-0,152857;0,087005;0,116536
-0,000261;0,138036;0,000243
-0,000073;0,127254;0,000265
0,000166;0,113987;0,000257
0,000323;0,098309;0,00004
0,000319;0,080479;-0,00047
0,000174;0,061141;-0,001088
-0,000016;0,041174;-0,001402
-0,000166;0,021397;-0,001134
-0,000267;0,002456;-0,000414
-0,000355;-0,015134;0,000385
-0,000455;-0,030906;0,000947
-0,000557;-0,044453;0,001108
-0,000633;-0,055577;0,000817
-0,000659;-0,064336;0,000128
-0,00063;-0,070814;-0,00075
-0,000565;-0,074937;-0,001452
-0,000501;-0,076633;-0,001607
-0,000464;-0,076089;-0,00114
-0,000446;-0,073799;-0,000393
-0,000412;-0,070375;0,000209
-0,000328;-0,066268;0,000503
-0,000196;-0,061622;0,00056
-0,000066;-0,056413;0,000479
0,000002;-0,050648;0,000345
-0,000011;-0,044419;0,000262
-0,000081;-0,037813;0,000325
-0,000157;-0,030811;0,000516
-0,000196;-0,02327;0,000615
-0,000175;-0,015039;0,000283
-0,0001;-0,006151;-0,0006
0,00001;0,003019;-0,001735
0,000135;0,011756;-0,002608
0,000264;0,019238;-0,002829
0,000395;0,024825;-0,002245
0,000522;0,028194;-0,000942
0,000622;0,029344;0,000707
0,00066;0,02853;0,002076
0,00061;0,02624;0,002529
0,000469;0,023235;0,001782
0,00026;0,020461;0,000149
0,000021;0,018704;-0,001545
-0,000199;0,018277;-0,002476
-0,000359;0,019023;-0,002331
-0,000442;0,020513;-0,001386
-0,000468;0,022245;-0,000245
-0,000471;0,023749;0,000529
-0,00047;0,024583;0,000686
-0,000461;0,024318;0,000322
-0,000415;0,022572;-0,000262
-0,000297;0,019098;-0,000761
-0,000094;0,01388;-0,001009
0,000157;0,007173;-0,000953
0,000365;-0,000561;-0,000595
0,000439;-0,00877;-0,000014
0,000348;-0,016902;0,000562
0,000158;-0,024474;0,000721
-0,000006;-0,031081;0,000021
-0,000042;-0,036382;-0,001646
0,000057;-0,040063;-0,003844
0,000215;-0,041873;-0,005882
0,000332;-0,041759;-0,007268
0,000359;-0,039945;-0,007974
0,000319;-0,036849;-0,008406
0,000266;-0,032901;-0,009155
0,000245;-0,028389;-0,010738
0,000278;-0,023418;-0,013513
0,000373;-0,017997;-0,017591
0,000497;-0,012167;-0,022665
0,000573;-0,006074;-0,028038
0,000531;0,000046;-0,033055
0,000381;0,005943;-0,03748
0,000226;0,011411;-0,041342
0,000191;0,016256;-0,044513
0,000285;0,020175;-0,046432
0,000357;0,022658;-0,04622
0,000236;0,023049;-0,043195
-0,000095;0,020824;-0,037317
-0,000477;0,015888;-0,029134
-0,000699;0,008633;-0,019472
-0,000667;-0,0002;-0,009202
-0,000475;-0,009745;0,000929
-0,000276;-0,019193;0,010423
-0,000144;-0,027833;0,01909
-0,000082;-0,035094;0,026976
-0,000082;-0,040648;0,034296
-0,000132;-0,04446;0,041452
-0,000182;-0,046653;0,048976
-0,000155;-0,047365;0,057208
-0,000007;-0,046776;0,065918
0,000221;-0,045156;0,074143
0,000411;-0,04278;0,080389
0,00048;-0,039799;0,083207
0,000452;-0,036194;0,081736
0,000382;-0,031904;0,075851
0,000275;-0,027076;0,066032
0,000135;-0,022165;0,053172
0,000014;-0,017684;0,038324
-0,000046;-0,013921;0,022402
-0,000094;-0,010937;0,005984
-0,000223;-0,008697;-0,010632
-0,000466;-0,007115;-0,027195
-0,000723;-0,006089;-0,043253
-0,000812;-0,005607;-0,058018
-0,000671;-0,005806;-0,070466
-0,000447;-0,00685;-0,079527
-0,000326;-0,008728;-0,084261
-0,000333;-0,011139;-0,084014
-0,000364;-0,013564;-0,078596
-0,00034;-0,015531;-0,068408
-0,000269;-0,016785;-0,05441
-0,000212;-0,017139;-0,037937
-0,000192;-0,016274;-0,020341
-0,000161;-0,01379;-0,0026
-0,000103;-0,00943;0,014949
-0,000087;-0,003302;0,032485
-0,000174;0,004088;0,050078
-0,000302;0,01206;0,067072
-0,000344;0,020041;0,08204
-0,000239;0,027683;0,093246
-0,000063;0,034831;0,099366
0,000026;0,041404;0,09987
-0,000037;0,047304;0,094675
-0,000145;0,052393;0,08361
-0,000131;0,056526;0,066301
0,000057;0,059588;0,042537
0,00034;0,061502;0,012913
0,000588;0,062208;-0,020714
0,000691;0,061603;-0,055376
0,000608;0,059488;-0,087683
0,000365;0,055592;-0,114796
0,000041;0,049707;-0,135109
-0,000271;0,041859;-0,148162
-0,000519;0,032371;-0,154113
-0,000731;0,02182;-0,153183
-0,001;0,010883;-0,145359
-0,001365;0,000214;-0,130498
-0,001732;-0,00959;-0,108667
-0,001919;-0,017998;-0,080518
-0,001752;-0,024605;-0,047527
-0,001094;-0,029214;-0,011926
0,000133;-0,031861;0,023666
